"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2017","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","32.9","24.8","41.0","226","Overall","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","34.6","23.4","45.8","110","Male","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","30.4","18.7","42.1","116","Female","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","67.1","59.0","75.2","226","Overall","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","65.4","54.2","76.6","110","Male","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","69.6","57.9","81.3","116","Female","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","30.6","23.6","37.6","284","Overall","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","34.9","24.6","45.2","131","Male","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","24.1","16.3","31.9","153","Female","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","69.4","62.4","76.4","284","Overall","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","65.1","54.8","75.4","131","Male","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","75.9","68.1","83.7","153","Female","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","33.9","22.4","45.4","99","Overall","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","34.8","20.8","48.8","64","Male","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","66.1","54.6","77.6","99","Overall","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","65.2","51.2","79.2","64","Male","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2017","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","30.4","14.5","46.3","68","Overall","All Ages","All Races","All Grades"
"2017","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2017","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2017","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","69.6","53.7","85.5","68","Overall","All Ages","All Races","All Grades"
"2017","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2017","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","31.2","16.5","45.9","88","Overall","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","68.8","54.1","83.5","88","Overall","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2017","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","39.1","33.9","44.3","542","Overall","All Ages","All Races","All Grades"
"2017","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","43.4","36.7","50.1","307","Male","All Ages","All Races","All Grades"
"2017","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","31.8","24.3","39.3","235","Female","All Ages","All Races","All Grades"
"2017","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","60.9","55.7","66.1","542","Overall","All Ages","All Races","All Grades"
"2017","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","56.6","49.9","63.3","307","Male","All Ages","All Races","All Grades"
"2017","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","68.2","60.7","75.7","235","Female","All Ages","All Races","All Grades"
"2016","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","42.6","34.9","50.3","338","Overall","All Ages","All Races","All Grades"
"2016","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","38.7","28.2","49.2","151","Male","All Ages","All Races","All Grades"
"2016","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","47.8","36.7","58.9","187","Female","All Ages","All Races","All Grades"
"2016","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","57.4","49.7","65.1","338","Overall","All Ages","All Races","All Grades"
"2016","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","61.3","50.8","71.8","151","Male","All Ages","All Races","All Grades"
"2016","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","52.2","41.1","63.3","187","Female","All Ages","All Races","All Grades"
"2018","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","29.4","20.7","38.1","182","Overall","All Ages","All Races","All Grades"
"2018","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","33.1","18.8","47.4","66","Male","All Ages","All Races","All Grades"
"2018","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","25.7","16.0","35.4","116","Female","All Ages","All Races","All Grades"
"2018","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","70.6","61.9","79.3","182","Overall","All Ages","All Races","All Grades"
"2018","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","66.9","52.6","81.2","66","Male","All Ages","All Races","All Grades"
"2018","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","74.3","64.6","84.0","116","Female","All Ages","All Races","All Grades"
"2017","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","39.5","27.1","51.9","141","Overall","All Ages","All Races","All Grades"
"2017","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","44.1","28.2","60.0","66","Male","All Ages","All Races","All Grades"
"2017","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","25.7","12.6","38.8","75","Female","All Ages","All Races","All Grades"
"2017","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","60.5","48.1","72.9","141","Overall","All Ages","All Races","All Grades"
"2017","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","55.9","40.0","71.8","66","Male","All Ages","All Races","All Grades"
"2017","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","74.3","61.2","87.4","75","Female","All Ages","All Races","All Grades"
"2016","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","36.3","25.3","47.3","177","Overall","All Ages","All Races","All Grades"
"2016","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","36.7","21.6","51.8","72","Male","All Ages","All Races","All Grades"
"2016","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","35.8","20.1","51.5","105","Female","All Ages","All Races","All Grades"
"2016","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","63.7","52.7","74.7","177","Overall","All Ages","All Races","All Grades"
"2016","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","63.3","48.2","78.4","72","Male","All Ages","All Races","All Grades"
"2016","Arkansas","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","64.2","48.5","79.9","105","Female","All Ages","All Races","All Grades"
"2017","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","37.1","30.1","44.1","267","Overall","All Ages","All Races","All Grades"
"2017","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","38.8","30.1","47.5","172","Male","All Ages","All Races","All Grades"
"2017","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","33.2","21.7","44.7","95","Female","All Ages","All Races","All Grades"
"2017","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","62.9","55.9","69.9","267","Overall","All Ages","All Races","All Grades"
"2017","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","61.2","52.5","69.9","172","Male","All Ages","All Races","All Grades"
"2017","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","66.8","55.3","78.3","95","Female","All Ages","All Races","All Grades"
"2016","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","31.3","24.7","37.9","294","Overall","All Ages","All Races","All Grades"
"2016","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","32.0","23.9","40.1","183","Male","All Ages","All Races","All Grades"
"2016","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","29.8","18.4","41.2","111","Female","All Ages","All Races","All Grades"
"2016","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","68.7","62.1","75.3","294","Overall","All Ages","All Races","All Grades"
"2016","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","68.0","59.9","76.1","183","Male","All Ages","All Races","All Grades"
"2016","California","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","70.2","58.8","81.6","111","Female","All Ages","All Races","All Grades"
"2017","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","35.7","29.5","41.9","324","Overall","All Ages","All Races","All Grades"
"2017","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","38.3","30.2","46.4","180","Male","All Ages","All Races","All Grades"
"2017","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","31.0","21.9","40.1","144","Female","All Ages","All Races","All Grades"
"2017","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","64.3","58.1","70.5","324","Overall","All Ages","All Races","All Grades"
"2017","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","61.7","53.6","69.8","180","Male","All Ages","All Races","All Grades"
"2017","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","69.0","59.9","78.1","144","Female","All Ages","All Races","All Grades"
"2016","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","28.7","23.7","33.7","453","Overall","All Ages","All Races","All Grades"
"2016","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","32.1","25.3","38.9","251","Male","All Ages","All Races","All Grades"
"2016","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","23.9","16.7","31.1","202","Female","All Ages","All Races","All Grades"
"2016","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","71.3","66.3","76.3","453","Overall","All Ages","All Races","All Grades"
"2016","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","67.9","61.1","74.7","251","Male","All Ages","All Races","All Grades"
"2016","Colorado","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","76.1","68.9","83.3","202","Female","All Ages","All Races","All Grades"
"2018","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","36.9","30.2","43.6","354","Overall","All Ages","All Races","All Grades"
"2018","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","42.8","34.0","51.6","211","Male","All Ages","All Races","All Grades"
"2018","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","26.7","17.5","35.9","143","Female","All Ages","All Races","All Grades"
"2018","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","63.1","56.4","69.8","354","Overall","All Ages","All Races","All Grades"
"2018","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","57.2","48.4","66.0","211","Male","All Ages","All Races","All Grades"
"2018","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","73.3","64.1","82.5","143","Female","All Ages","All Races","All Grades"
"2017","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","37.1","28.7","45.5","229","Overall","All Ages","All Races","All Grades"
"2017","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","39.3","28.4","50.2","124","Male","All Ages","All Races","All Grades"
"2017","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","32.4","20.4","44.4","105","Female","All Ages","All Races","All Grades"
"2017","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","62.9","54.5","71.3","229","Overall","All Ages","All Races","All Grades"
"2017","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","60.7","49.8","71.6","124","Male","All Ages","All Races","All Grades"
"2017","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","67.6","55.6","79.6","105","Female","All Ages","All Races","All Grades"
"2016","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","27.2","19.6","34.8","249","Overall","All Ages","All Races","All Grades"
"2016","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","24.8","15.0","34.6","134","Male","All Ages","All Races","All Grades"
"2016","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","31.1","19.4","42.8","115","Female","All Ages","All Races","All Grades"
"2016","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","72.8","65.2","80.4","249","Overall","All Ages","All Races","All Grades"
"2016","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","75.2","65.4","85.0","134","Male","All Ages","All Races","All Grades"
"2016","Connecticut","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","68.9","57.2","80.6","115","Female","All Ages","All Races","All Grades"
"2018","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","40.2","31.1","49.3","183","Overall","All Ages","All Races","All Grades"
"2018","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","41.4","29.3","53.5","96","Male","All Ages","All Races","All Grades"
"2018","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","38.5","24.9","52.1","87","Female","All Ages","All Races","All Grades"
"2018","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","59.8","50.7","68.9","183","Overall","All Ages","All Races","All Grades"
"2018","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","58.6","46.5","70.7","96","Male","All Ages","All Races","All Grades"
"2018","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","61.5","47.9","75.1","87","Female","All Ages","All Races","All Grades"
"2017","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","44.1","33.0","55.2","139","Overall","All Ages","All Races","All Grades"
"2017","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","38.2","24.0","52.4","79","Male","All Ages","All Races","All Grades"
"2017","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","52.1","35.3","68.9","60","Female","All Ages","All Races","All Grades"
"2017","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","55.9","44.8","67.0","139","Overall","All Ages","All Races","All Grades"
"2017","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","61.8","47.6","76.0","79","Male","All Ages","All Races","All Grades"
"2017","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","47.9","31.1","64.7","60","Female","All Ages","All Races","All Grades"
"2016","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","42.5","30.9","54.1","134","Overall","All Ages","All Races","All Grades"
"2016","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","48.4","34.2","62.6","78","Male","All Ages","All Races","All Grades"
"2016","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","32.1","12.8","51.4","56","Female","All Ages","All Races","All Grades"
"2016","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","57.5","45.9","69.1","134","Overall","All Ages","All Races","All Grades"
"2016","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","51.6","37.4","65.8","78","Male","All Ages","All Races","All Grades"
"2016","Delaware","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","67.9","48.6","87.2","56","Female","All Ages","All Races","All Grades"
"2017","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","28.1","14.0","42.2","66","Overall","All Ages","All Races","All Grades"
"2017","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2017","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2017","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","71.9","57.8","86.0","66","Overall","All Ages","All Races","All Grades"
"2017","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2017","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2016","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","15.2","5.3","25.1","63","Overall","All Ages","All Races","All Grades"
"2016","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2016","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2016","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","84.8","74.9","94.7","63","Overall","All Ages","All Races","All Grades"
"2016","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2016","District of Columbia","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2018","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","31.9","24.7","39.1","626","Overall","All Ages","All Races","All Grades"
"2018","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","38.4","27.7","49.1","320","Male","All Ages","All Races","All Grades"
"2018","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","23.1","15.1","31.1","306","Female","All Ages","All Races","All Grades"
"2018","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","68.1","60.9","75.3","626","Overall","All Ages","All Races","All Grades"
"2018","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","61.6","50.9","72.3","320","Male","All Ages","All Races","All Grades"
"2018","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","76.9","68.9","84.9","306","Female","All Ages","All Races","All Grades"
"2017","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","30.1","24.1","36.1","885","Overall","All Ages","All Races","All Grades"
"2017","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","32.9","24.4","41.4","433","Male","All Ages","All Races","All Grades"
"2017","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","25.7","18.1","33.3","452","Female","All Ages","All Races","All Grades"
"2017","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","69.9","63.9","75.9","885","Overall","All Ages","All Races","All Grades"
"2017","Florida","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","67.1","58.6","75.6","433","Male","All Ages","All Races","All Grades"
