"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2014-2015","Alabama","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","75.7","72.5","78.9","1088","Overall","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","69.2","63.8","74.7","462","Male","All Ages","All Races","All Grades"
"2014-2015","Alabama","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","81.2","77.7","84.8","626","Female","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","82.2","79.5","84.8","886","Overall","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","80.1","75.5","84.6","359","Male","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","84.0","80.5","87.5","527","Female","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","80.2","75.7","84.8","862","Overall","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","76.6","69.8","83.5","359","Male","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","83.2","79.3","87.2","503","Female","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","78.1","74.9","81.3","1011","Overall","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","73.8","68.8","78.9","400","Male","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","81.5","78.4","84.7","611","Female","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","76.7","75.4","78.1","4734","Overall","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","75.2","73.5","77.0","2188","Male","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","78.2","76.5","79.9","2546","Female","All Ages","All Races","All Grades"
"2014-2015","Colorado","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","81.5","78.5","84.4","1100","Overall","All Ages","All Races","All Grades"
"2014-2015","Colorado","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","81.3","77.4","85.2","497","Male","All Ages","All Races","All Grades"
"2014-2015","Colorado","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","81.7","78.2","85.2","603","Female","All Ages","All Races","All Grades"
"2014-2015","Connecticut","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","81.3","78.1","84.5","1076","Overall","All Ages","All Races","All Grades"
"2014-2015","Connecticut","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","78.8","74.6","82.9","482","Male","All Ages","All Races","All Grades"
"2014-2015","Connecticut","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","83.5","79.3","87.7","594","Female","All Ages","All Races","All Grades"
"2014-2015","Delaware","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","85.3","82.6","87.9","961","Overall","All Ages","All Races","All Grades"
"2014-2015","Delaware","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","83.8","80.0","87.6","409","Male","All Ages","All Races","All Grades"
"2014-2015","Delaware","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","86.4","83.3","89.6","552","Female","All Ages","All Races","All Grades"
"2014-2015","District of Columbia","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","84.9","82.5","87.3","1710","Overall","All Ages","All Races","All Grades"
"2014-2015","District of Columbia","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","83.3","80.0","86.6","804","Male","All Ages","All Races","All Grades"
"2014-2015","District of Columbia","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","86.4","83.5","89.3","906","Female","All Ages","All Races","All Grades"
"2014-2015","Florida","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","76.4","74.3","78.4","2334","Overall","All Ages","All Races","All Grades"
"2014-2015","Florida","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","73.6","70.5","76.7","1017","Male","All Ages","All Races","All Grades"
"2014-2015","Florida","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","78.8","76.3","81.2","1317","Female","All Ages","All Races","All Grades"
"2014-2015","Georgia","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","75.4","72.5","78.3","1476","Overall","All Ages","All Races","All Grades"
"2014-2015","Georgia","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","75.2","71.4","79.0","624","Male","All Ages","All Races","All Grades"
"2014-2015","Georgia","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","75.5","72.0","79.1","852","Female","All Ages","All Races","All Grades"
"2014-2015","Hawaii","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","75.2","71.4","79.0","800","Overall","All Ages","All Races","All Grades"
"2014-2015","Hawaii","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","74.8","68.8","80.8","331","Male","All Ages","All Races","All Grades"
"2014-2015","Hawaii","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","75.4","71.0","79.8","469","Female","All Ages","All Races","All Grades"
"2014-2015","Idaho","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","81.1","77.2","85.0","965","Overall","All Ages","All Races","All Grades"
"2014-2015","Idaho","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","76.2","71.0","81.3","428","Male","All Ages","All Races","All Grades"
"2014-2015","Idaho","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","85.5","81.7","89.3","537","Female","All Ages","All Races","All Grades"
"2014-2015","Illinois","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","85.9","84.3","87.5","2103","Overall","All Ages","All Races","All Grades"
"2014-2015","Illinois","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","84.2","81.7","86.8","941","Male","All Ages","All Races","All Grades"
"2014-2015","Illinois","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","87.5","85.4","89.6","1162","Female","All Ages","All Races","All Grades"
"2014-2015","Indiana","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","82.3","79.9","84.7","1170","Overall","All Ages","All Races","All Grades"
"2014-2015","Indiana","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","77.6","73.8","81.4","521","Male","All Ages","All Races","All Grades"
"2014-2015","Indiana","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","86.7","83.9","89.5","649","Female","All Ages","All Races","All Grades"
"2014-2015","Iowa","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","84.3","80.5","88.1","1118","Overall","All Ages","All Races","All Grades"
"2014-2015","Iowa","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","82.6","78.2","87.0","483","Male","All Ages","All Races","All Grades"
"2014-2015","Iowa","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","85.8","81.5","90.2","635","Female","All Ages","All Races","All Grades"
"2014-2015","Kansas","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","81.5","78.8","84.2","1053","Overall","All Ages","All Races","All Grades"
"2014-2015","Kansas","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","78.1","74.1","82.1","475","Male","All Ages","All Races","All Grades"
"2014-2015","Kansas","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","84.9","81.3","88.4","578","Female","All Ages","All Races","All Grades"
"2014-2015","Kentucky","TUS-CPS","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","","Percentage","79.0","76.6","81.4","987","Overall","All Ages","All Races","All Grades"
