,Year,Location Description,Topic Description,Response,Data Value,Low Confidence Limit,High Confidence Limit,Sample Size,Gender,Legislation Percentage
0,2018,Alabama,Cigarette Use (Adults),Every Day,67.8,64.0,71.6,1067,Overall,75.7
1,2018,Alabama,Cigarette Use (Adults),Every Day,62.2,56.5,67.9,515,Male,75.7
2,2018,Alabama,Cigarette Use (Adults),Every Day,74.2,69.6,78.8,552,Female,75.7
3,2018,Alabama,Cigarette Use (Adults),Some Days,32.2,28.4,36.0,1067,Overall,75.7
4,2018,Alabama,Cigarette Use (Adults),Some Days,37.8,32.1,43.5,515,Male,75.7
5,2018,Alabama,Cigarette Use (Adults),Some Days,25.8,21.2,30.4,552,Female,75.7
6,2017,Alabama,Cigarette Use (Adults),Every Day,65.4,61.7,69.1,1143,Overall,75.7
7,2017,Alabama,Cigarette Use (Adults),Every Day,67.6,62.3,72.9,532,Male,75.7
8,2017,Alabama,Cigarette Use (Adults),Every Day,63.0,57.9,68.1,611,Female,75.7
9,2017,Alabama,Cigarette Use (Adults),Some Days,34.6,30.9,38.3,1143,Overall,75.7
10,2017,Alabama,Cigarette Use (Adults),Some Days,32.4,27.1,37.7,532,Male,75.7
11,2017,Alabama,Cigarette Use (Adults),Some Days,37.0,31.9,42.1,611,Female,75.7
12,2016,Alabama,Cigarette Use (Adults),Every Day,68.5,65.1,71.9,1260,Overall,75.7
13,2016,Alabama,Cigarette Use (Adults),Every Day,67.1,62.0,72.2,574,Male,75.7
14,2016,Alabama,Cigarette Use (Adults),Every Day,70.0,65.6,74.4,686,Female,75.7
15,2016,Alabama,Cigarette Use (Adults),Some Days,31.5,28.1,34.9,1260,Overall,75.7
16,2016,Alabama,Cigarette Use (Adults),Some Days,32.9,27.8,38.0,574,Male,75.7
17,2016,Alabama,Cigarette Use (Adults),Some Days,30.0,25.6,34.4,686,Female,75.7
18,2018,Alaska,Cigarette Use (Adults),Every Day,71.1,65.4,76.8,464,Overall,82.2
19,2018,Alaska,Cigarette Use (Adults),Every Day,67.4,59.5,75.3,257,Male,82.2
20,2018,Alaska,Cigarette Use (Adults),Every Day,75.9,68.0,83.8,207,Female,82.2
