"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","68.5","65.1","71.9","1260","Overall","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","67.1","62.0","72.2","574","Male","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","70.0","65.6","74.4","686","Female","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","31.5","28.1","34.9","1260","Overall","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","32.9","27.8","38.0","574","Male","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","30.0","25.6","34.4","686","Female","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","71.4","68.2","74.6","1393","Overall","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","70.3","65.4","75.2","609","Male","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","72.7","68.6","76.8","784","Female","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","28.6","25.4","31.8","1393","Overall","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","29.7","24.8","34.6","609","Male","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","27.3","23.2","31.4","784","Female","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","69.9","66.4","73.4","1490","Overall","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","71.0","66.0","76.0","613","Male","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","68.6","63.8","73.4","877","Female","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","30.1","26.6","33.6","1490","Overall","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","29.0","24.0","34.0","613","Male","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","31.4","26.6","36.2","877","Female","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","73.4","69.7","77.1","1102","Overall","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","72.6","67.0","78.2","437","Male","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","74.3","69.9","78.7","665","Female","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","26.6","22.9","30.3","1102","Overall","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","27.4","21.8","33.0","437","Male","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","25.7","21.3","30.1","665","Female","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","64.4","57.8","71.0","523","Overall","All Ages","All Races","All Grades"
