"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","30.6","23.6","37.6","284","Overall","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","34.9","24.6","45.2","131","Male","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","24.1","16.3","31.9","153","Female","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","69.4","62.4","76.4","284","Overall","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","65.1","54.8","75.4","131","Male","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","75.9","68.1","83.7","153","Female","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","31.2","16.5","45.9","88","Overall","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","68.8","54.1","83.5","88","Overall","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Male","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Some Days","Percentage","*","*","*","*","Female","All Ages","All Races","All Grades"
"2016","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","42.6","34.9","50.3","338","Overall","All Ages","All Races","All Grades"
"2016","Arizona","BRFSS","E-Cigarette Use (Adults)","Frequency of Use","Every Day","Percentage","38.7","28.2","49.2","151","Male","All Ages","All Races","All Grades"
