"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2014-2015","Alabama","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","80.2","78.2","82.1","2046","Overall","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","90.9","88.9","92.9","1432","Overall","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","91.3","89.3","93.4","1723","Overall","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","81.2","79.0","83.4","1908","Overall","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","92.1","91.4","92.8","8990","Overall","All Ages","All Races","All Grades"
"2014-2015","Colorado","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","89.3","87.7","91.0","1818","Overall","All Ages","All Races","All Grades"
"2014-2015","Connecticut","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","86.7","84.8","88.6","1758","Overall","All Ages","All Races","All Grades"
"2014-2015","Delaware","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","84.0","81.5","86.4","1640","Overall","All Ages","All Races","All Grades"
"2014-2015","District of Columbia","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","83.3","81.4","85.2","2446","Overall","All Ages","All Races","All Grades"
"2014-2015","Florida","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","88.8","87.8","89.8","4939","Overall","All Ages","All Races","All Grades"
"2014-2015","Georgia","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","86.5","85.1","87.9","2670","Overall","All Ages","All Races","All Grades"
"2014-2015","Hawaii","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","87.4","85.0","89.8","1535","Overall","All Ages","All Races","All Grades"
"2014-2015","Idaho","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","91.0","89.3","92.6","1696","Overall","All Ages","All Races","All Grades"
"2014-2015","Illinois","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","84.5","83.1","85.8","3537","Overall","All Ages","All Races","All Grades"
"2014-2015","Indiana","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","78.8","76.3","81.2","1942","Overall","All Ages","All Races","All Grades"
"2014-2015","Iowa","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","86.4","84.1","88.7","1740","Overall","All Ages","All Races","All Grades"
"2014-2015","Kansas","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","81.7","79.0","84.4","1762","Overall","All Ages","All Races","All Grades"
"2014-2015","Kentucky","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","74.1","71.9","76.4","1809","Overall","All Ages","All Races","All Grades"
"2014-2015","Louisiana","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","82.6","80.5","84.8","2372","Overall","All Ages","All Races","All Grades"
"2014-2015","Maine","TUS-CPS","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","","Percentage","84.5","82.1","86.8","1683","Overall","All Ages","All Races","All Grades"
