,Year,Location Description,Data Source,Topic Description,Measure Description,Response,Data Value,Low Confidence Limit,High Confidence Limit,Sample Size,Gender,legislation percentage
0,2016,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,68.5,65.1,71.9,1260,Overall,80.2
1,2016,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,67.1,62.0,72.2,574,Male,80.2
2,2016,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,70.0,65.6,74.4,686,Female,80.2
3,2016,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,31.5,28.1,34.9,1260,Overall,80.2
4,2016,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,32.9,27.8,38.0,574,Male,80.2
5,2016,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,30.0,25.6,34.4,686,Female,80.2
6,2015,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,71.4,68.2,74.6,1393,Overall,80.2
7,2015,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,70.3,65.4,75.2,609,Male,80.2
8,2015,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,72.7,68.6,76.8,784,Female,80.2
9,2015,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,28.6,25.4,31.8,1393,Overall,80.2
10,2015,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,29.7,24.8,34.6,609,Male,80.2
11,2015,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,27.3,23.2,31.4,784,Female,80.2
12,2014,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,69.9,66.4,73.4,1490,Overall,80.2
13,2014,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,71.0,66.0,76.0,613,Male,80.2
14,2014,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,68.6,63.8,73.4,877,Female,80.2
15,2014,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,30.1,26.6,33.6,1490,Overall,80.2
16,2014,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,29.0,24.0,34.0,613,Male,80.2
17,2014,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,26.6,36.2,877,Female,80.2
18,2013,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,73.4,69.7,77.1,1102,Overall,80.2
19,2013,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,72.6,67.0,78.2,437,Male,80.2
20,2013,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,74.3,69.9,78.7,665,Female,80.2
21,2013,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,26.6,22.9,30.3,1102,Overall,80.2
22,2013,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,27.4,21.8,33.0,437,Male,80.2
23,2013,Alabama,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,25.7,21.3,30.1,665,Female,80.2
24,2016,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,64.4,57.8,71.0,523,Overall,90.9
25,2016,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,66.9,58.6,75.2,276,Male,90.9
26,2016,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Every Day,61.0,50.4,71.6,247,Female,90.9
27,2016,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,35.6,29.0,42.2,523,Overall,90.9
28,2016,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,33.1,24.8,41.4,276,Male,90.9
29,2016,Alaska,BRFSS,Cigarette Use (Adults),Smoking Frequency,Some Days,39.0,28.4,49.6,247,Female,90.9
