CBSA,Core Based Statistical Area
10100,"Aberdeen, SD"
10300,"Adrian, MI"
10420,"Akron, OH"
10500,"Albany, GA"
10580,"Albany-Schenectady-Troy, NY"
10740,"Albuquerque, NM"
10900,"Allentown-Bethlehem-Easton, PA-NJ"
11020,"Altoona, PA"
11140,"Americus, GA"
11260,"Anchorage, AK"
11460,"Ann Arbor, MI"
11540,"Appleton, WI"
11700,"Asheville, NC"
11780,"Ashtabula, OH"
11900,"Athens, OH"
12020,"Athens-Clarke County, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA"
12100,"Atlantic City-Hammonton, NJ"
12260,"Augusta-Richmond County, GA-SC"
12300,"Augusta-Waterville, ME"
12420,"Austin-Round Rock, TX"
12540,"Bakersfield, CA"
12580,"Baltimore-Columbia-Towson, MD"
12620,"Bangor, ME"
12660,"Baraboo, WI"
12700,"Barnstable Town, MA"
12940,"Baton Rouge, LA"
13020,"Bay City, MI"
13140,"Beaumont-Port Arthur, TX"
13380,"Bellingham, WA"
13540,"Bennington, VT"
13620,"Berlin, NH-VT"
13740,"Billings, MT"
13820,"Birmingham-Hoover, AL"
13860,"Bishop, CA"
13900,"Bismarck, ND"
14010,"Bloomington, IL"
14020,"Bloomington, IN"
14260,"Boise City, ID"
14460,"Boston-Cambridge-Newton, MA-NH"
14500,"Boulder, CO"
14540,"Bowling Green, KY"
14860,"Bridgeport-Stamford-Norwalk, CT"
15180,"Brownsville-Harlingen, TX"
15260,"Brunswick, GA"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
15540,"Burlington-South Burlington, VT"
15580,"Butte-Silver Bow, MT"
15620,"Cadillac, MI"
15940,"Canton-Massillon, OH"
15980,"Cape Coral-Fort Myers, FL"
16100,"Carlsbad-Artesia, NM"
16300,"Cedar Rapids, IA"
16540,"Chambersburg-Waynesboro, PA"
16620,"Charleston, WV"
16700,"Charleston-North Charleston, SC"
16740,"Charlotte-Concord-Gastonia, NC-SC"
16860,"Chattanooga, TN-GA"
16940,"Cheyenne, WY"
16980,"Chicago-Naperville-Elgin, IL-IN-WI"
17020,"Chico, CA"
17140,"Cincinnati, OH-KY-IN"
17220,"Clarksburg, WV"
17300,"Clarksville, TN-KY"
17380,"Cleveland, MS"
17460,"Cleveland-Elyria, OH"
17540,"Clinton, IA"
17820,"Colorado Springs, CO"
17900,"Columbia, SC"
17980,"Columbus, GA-AL"
18140,"Columbus, OH"
18500,"Corning, NY"
18580,"Corpus Christi, TX"
19000,"Cullowhee, NC"
19100,"Dallas-Fort Worth-Arlington, TX"
19140,"Dalton, GA"
19300,"Daphne-Fairhope-Foley, AL"
19340,"Davenport-Moline-Rock Island, IA-IL"
19380,"Dayton, OH"
19460,"Decatur, AL"
19500,"Decatur, IL"
19660,"Deltona-Daytona Beach-Ormond Beach, FL"
19740,"Denver-Aurora-Lakewood, CO"
19780,"Des Moines-West Des Moines, IA"
19820,"Detroit-Warren-Dearborn, MI"
19860,"Dickinson, ND"
20100,"Dover, DE"
20180,"DuBois, PA"
20260,"Duluth, MN-WI"
20420,"Durango, CO"
20500,"Durham-Chapel Hill, NC"
20820,"Effingham, IL"
20940,"El Centro, CA"
21340,"El Paso, TX"
21060,"Elizabethtown-Fort Knox, KY"
21140,"Elkhart-Goshen, IN"
21500,"Erie, PA"
21660,"Eugene, OR"
21780,"Evansville, IN-KY"
21820,"Fairbanks, AK"
21900,"Fairmont, WV"
22020,"Fargo, ND-MN"
22140,"Farmington, NM"
22180,"Fayetteville, NC"
22380,"Flagstaff, AZ"
22420,"Flint, MI"
22500,"Florence, SC"
22520,"Florence-Muscle Shoals, AL"
22540,"Fond du Lac, WI"
22660,"Fort Collins, CO"
22840,"Fort Payne, AL"
23060,"Fort Wayne, IN"
23420,"Fresno, CA"
23460,"Gadsden, AL"
23540,"Gainesville, FL"
23580,"Gainesville, GA"
23900,"Gettysburg, PA"
23940,"Gillette, WY"
24060,"Glenwood Springs, CO"
24300,"Grand Junction, CO"
24340,"Grand Rapids-Wyoming, MI"
24540,"Greeley, CO"
24580,"Green Bay, WI"
24660,"Greensboro-High Point, NC"
24860,"Greenville-Anderson-Mauldin, SC"
25060,"Gulfport-Biloxi-Pascagoula, MS"
25180,"Hagerstown-Martinsburg, MD-WV"
25220,"Hammond, LA"
25260,"Hanford-Corcoran, CA"
25420,"Harrisburg-Carlisle, PA"
25460,"Harrison, AR"
25540,"Hartford-West Hartford-East Hartford, CT"
25860,"Hickory-Lenoir-Morganton, NC"
26090,"Holland, MI"
26380,"Houma-Thibodaux, LA"
26420,"Houston-The Woodlands-Sugar Land, TX"
26540,"Huntington, IN"
26580,"Huntington-Ashland, WV-KY-OH"
26620,"Huntsville, AL"
26820,"Idaho Falls, ID"
26900,"Indianapolis-Carmel-Anderson, IN"
26980,"Iowa City, IA"
27220,"Jackson, WY-ID"
27260,"Jacksonville, FL"
27460,"Jamestown-Dunkirk-Fredonia, NY"
27540,"Jasper, IN"
27780,"Johnstown, PA"
27900,"Joplin, MO"
27940,"Juneau, AK"
27980,"Kahului-Wailuku-Lahaina, HI"
28020,"Kalamazoo-Portage, MI"
28060,"Kalispell, MT"
28140,"Kansas City, MO-KS"
28300,"Keene, NH"
28700,"Kingsport-Bristol-Bristol, TN-VA"
28820,"Kinston, NC"
28900,"Klamath Falls, OR"
28940,"Knoxville, TN"
29060,"Laconia, NH"
29200,"Lafayette-West Lafayette, IN"
29340,"Lake Charles, LA"
29380,"Lake City, FL"
29460,"Lakeland-Winter Haven, FL"
29540,"Lancaster, PA"
29620,"Lansing-East Lansing, MI"
29660,"Laramie, WY"
29700,"Laredo, TX"
29740,"Las Cruces, NM"
29820,"Las Vegas-Henderson-Paradise, NV"
30460,"Lexington-Fayette, KY"
30700,"Lincoln, NE"
30780,"Little Rock-North Little Rock-Conway, AR"
30980,"Longview, TX"
31080,"Los Angeles-Long Beach-Anaheim, CA"
31140,"Louisville/Jefferson County, KY-IN"
31220,"Ludington, MI"
31420,"Macon, GA"
31460,"Madera, CA"
31540,"Madison, WI"
31820,"Manitowoc, WI"
31930,"Marietta, OH"
32220,"Marshall, TX"
32380,"Mason City, IA"
32540,"McAlester, OK"
32580,"McAllen-Edinburg-Mission, TX"
32780,"Medford, OR"
32820,"Memphis, TN-MS-AR"
32900,"Merced, CA"
32940,"Meridian, MS"
33060,"Miami, OK"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
33140,"Michigan City-La Porte, IN"
33180,"Middlesborough, KY"
33340,"Milwaukee-Waukesha-West Allis, WI"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
33660,"Mobile, AL"
33700,"Modesto, CA"
33740,"Monroe, LA"
33860,"Montgomery, AL"
34060,"Morgantown, WV"
34100,"Morristown, TN"
34540,"Mount Vernon, OH"
34620,"Muncie, IN"
34700,"Muscatine, IA"
34740,"Muskegon, MI"
34780,"Muskogee, OK"
34900,"Napa, CA"
34940,"Naples-Immokalee-Marco Island, FL"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
35220,"New Castle, IN"
35260,"New Castle, PA"
35300,"New Haven-Milford, CT"
35380,"New Orleans-Metairie, LA"
35620,"New York-Newark-Jersey City, NY-NJ-PA"
35660,"Niles-Benton Harbor, MI"
35700,"Nogales, AZ"
35840,"North Port-Sarasota-Bradenton, FL"
36100,"Ocala, FL"
36260,"Ogden-Clearfield, UT"
36420,"Oklahoma City, OK"
36540,"Omaha-Council Bluffs, NE-IA"
36740,"Orlando-Kissimmee-Sanford, FL"
36980,"Owensboro, KY"
37080,"Oxford, NC"
37100,"Oxnard-Thousand Oaks-Ventura, CA"
37140,"Paducah, KY-IL"
37260,"Palatka, FL"
37340,"Palm Bay-Melbourne-Titusville, FL"
37460,"Panama City, FL"
37620,"Parkersburg-Vienna, WV"
37740,"Payson, AZ"
37860,"Pensacola-Ferry Pass-Brent, FL"
37900,"Peoria, IL"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
38060,"Phoenix-Mesa-Scottsdale, AZ"
38300,"Pittsburgh, PA"
38340,"Pittsfield, MA"
38420,"Platteville, WI"
38540,"Pocatello, ID"
38660,"Ponce, PR"
38860,"Portland-South Portland, ME"
38900,"Portland-Vancouver-Hillsboro, OR-WA"
39020,"Portsmouth, OH"
39300,"Providence-Warwick, RI-MA"
39340,"Provo-Orem, UT"
39580,"Raleigh, NC"
39660,"Rapid City, SD"
39740,"Reading, PA"
39780,"Red Bluff, CA"
39820,"Redding, CA"
39900,"Reno, NV"
40060,"Richmond, VA"
40080,"Richmond-Berea, KY"
40140,"Riverside-San Bernardino-Ontario, CA"
40180,"Riverton, WY"
40220,"Roanoke, VA"
40340,"Rochester, MN"
40380,"Rochester, NY"
40540,"Rock Springs, WY"
40420,"Rockford, IL"
40500,"Rockland, ME"
40580,"Rocky Mount, NC"
40860,"Rutland, VT"
40900,"Sacramento--Roseville--Arden-Arcade, CA"
41400,"Salem, OH"
41420,"Salem, OR"
41500,"Salinas, CA"
41540,"Salisbury, MD-DE"
41620,"Salt Lake City, UT"
41700,"San Antonio-New Braunfels, TX"
41740,"San Diego-Carlsbad, CA"
41860,"San Francisco-Oakland-Hayward, CA"
41940,"San Jose-Sunnyvale-Santa Clara, CA"
41980,"San Juan-Carolina-Caguas, PR"
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
42100,"Santa Cruz-Watsonville, CA"
42200,"Santa Maria-Santa Barbara, CA"
42220,"Santa Rosa, CA"
42300,"Sault Ste. Marie, MI"
42340,"Savannah, GA"
42540,"Scranton--Wilkes-Barre--Hazleton, PA"
42660,"Seattle-Tacoma-Bellevue, WA"
42700,"Sebring, FL"
42860,"Seneca, SC"
42940,"Sevierville, TN"
42980,"Seymour, IN"
43100,"Sheboygan, WI"
43260,"Sheridan, WY"
43340,"Shreveport-Bossier City, LA"
43420,"Sierra Vista-Douglas, AZ"
43700,"Somerset, KY"
43760,"Sonora, CA"
43780,"South Bend-Mishawaka, IN-MI"
43900,"Spartanburg, SC"
44060,"Spokane-Spokane Valley, WA"
44140,"Springfield, MA"
44180,"Springfield, MO"
44220,"Springfield, OH"
41060,"St. Cloud, MN"
41180,"St. Louis, MO-IL"
44300,"State College, PA"
44460,"Steamboat Springs, CO"
44700,"Stockton-Lodi, CA"
45060,"Syracuse, NY"
45140,"Tahlequah, OK"
45180,"Talladega-Sylacauga, AL"
45220,"Tallahassee, FL"
45300,"Tampa-St. Petersburg-Clearwater, FL"
45460,"Terre Haute, IN"
45780,"Toledo, OH"
45860,"Torrington, CT"
45900,"Traverse City, MI"
45940,"Trenton, NJ"
46020,"Truckee-Grass Valley, CA"
46060,"Tucson, AZ"
46140,"Tulsa, OK"
46180,"Tupelo, MS"
46220,"Tuscaloosa, AL"
46340,"Tyler, TX"
46380,"Ukiah, CA"
46520,"Urban Honolulu, HI"
46540,"Utica-Rome, NY"
46660,"Valdosta, GA"
46700,"Vallejo-Fairfield, CA"
47020,"Victoria, TX"
47220,"Vineland-Bridgeton, NJ"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
47300,"Visalia-Porterville, CA"
47500,"Walterboro, SC"
47580,"Warner Robins, GA"
47620,"Warren, PA"
47780,"Washington, IN"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
47940,"Waterloo-Cedar Falls, IA"
48060,"Watertown-Fort Drum, NY"
48140,"Wausau, WI"
48260,"Weirton-Steubenville, WV-OH"
48540,"Wheeling, WV-OH"
48580,"Whitewater-Elkhorn, WI"
48620,"Wichita, KS"
48700,"Williamsport, PA"
48780,"Williston, ND"
48900,"Wilmington, NC"
48940,"Wilmington, OH"
49020,"Winchester, VA-WV"
49180,"Winston-Salem, NC"
49340,"Worcester, MA-CT"
49420,"Yakima, WA"
49620,"York-Hanover, PA"
